task_name,task_type,duration,mental_load,physical_load,friction,ideal_slot
Take the dog for a walk,essential,60,low,low,medium,flexible
Go for a brisk walk around the block,physical,20,low,low,medium,flexible
Prepare a protein-rich breakfast,essential,25,low,low,medium,flexible
Read a chapter from a nonfiction book,comprehension,30,low,low,medium,flexible
Stretch your full body with a yoga flow,physical,15,low,low,medium,recovery
Water your balcony plants,essential,10,low,low,medium,recovery
Make a fresh fruit salad,essential,15,low,low,medium,recovery
Read a short story from an anthology,comprehension,20,low,low,medium,flexible
Take a walk in a nearby park,leisure,30,low,low,medium,recovery
Prepare a green smoothie,essential,10,low,low,medium,flexible
Read a few pages of a novel outdoors,leisure,15,low,low,medium,flexible
Do a breathing exercise in fresh air,mental_organization,10,low,low,medium,recovery
Make a list of healthy snacks,essential,8,low,low,medium,flexible
Stretch your legs and hips,physical,12,low,low,medium,recovery
Read a blog post about nutrition,comprehension,10,low,low,medium,flexible
Go for a bike ride,leisure,40,low,medium,medium,post-reset
Prepare a simple vegetarian lunch,essential,30,low,low,medium,recovery
Read a magazine article on wellness,comprehension,15,low,low,medium,flexible
Do a quick stair climb session,physical,10,low,low,medium,morning
Take a walk while listening to a podcast,leisure,25,low,low,medium,recovery
Make a hydration tracker,essential,5,low,low,medium,flexible
Stretch your shoulders and neck,physical,10,low,low,medium,recovery
Read a page from a travel memoir,comprehension,6,low,low,medium,flexible
Invent a new ritual for starting work,mental_organization,8,low,low,medium,flexible
Write a short note to your distractions,mental_organization,7,low,low,medium,flexible
Go for a walk with a friend,social,35,low,low,medium,morning
Catch a butterfly outdoors,essential,45,low,low,medium,midday
Take a walk in silence,essential,20,low,low,medium,recovery
Make a list of foods to avoid,mental_organization,8,low,low,medium,flexible
Read a page from a mindfulness book,comprehension,7,low,low,medium,flexible
Go outside and breathe deeply,mental_organization,5,low,low,medium,recovery
Prepare a colorful salad,essential,20,low,low,medium,midday
Stretch your spine and back,physical,10,low,low,medium,recovery
Do a short jump rope session,physical,10,low,low,medium,flexible
Read a few pages of a graphic novel,comprehension,10,low,low,medium,flexible
Prepare a post-workout snack,essential,15,low,low,medium,flexible
Stretch your wrists and forearms,physical,6,low,low,medium,recovery
Make a grocery list for clean eating,essential,10,low,low,medium,flexible
Take a walk at sunset,essential,25,low,low,medium,flexible
Read a few pages of poetry,comprehension,10,low,low,medium,flexible
Prepare a light dinner,essential,30,low,low,medium,flexible
Go for a walk with no phone,essential,15,low,low,medium,recovery
Read a page from a science book,comprehension,7,low,low,medium,flexible
Make a list of anti-inflammatory foods,mental_organization,10,low,low,medium,flexible
Take a walk after lunch,essential,20,low,low,medium,flexible
Do a short dance routine,physical,20,low,low,medium,recovery
Read a few pages of a biography,comprehension,15,low,low,medium,flexible
Prepare a high-fiber snack,essential,10,low,low,medium,flexible
Stretch your calves and ankles,physical,8,low,low,medium,recovery
Go outside and observe the sky,essential,5,low,low,medium,flexible
Do a mobility drill,physical,12,low,low,medium,post-reset
Sketch my neighbor's quirky garden gnome,skill_practice,20,low,low,medium,flexible
Tune up my old acoustic guitar strings,essential,15,low,low,medium,recovery
Brew that Ethiopian coffee blend I stashed,essential,10,low,low,medium,flexible
Jot notes on last night's dream about flying kites,mental_organization,5,low,low,medium,flexible
Repot the succulent from Auntie's funeral,essential,25,low,low,medium,flexible
Practice juggling with those mismatched socks,skill_practice,30,low,medium,medium,flexible
Read chapter on quantum entanglement in my physics book,comprehension,40,medium,low,medium,flexible
Mix a playlist for my commute with 80s synthwave,essential,35,low,low,medium,flexible
Polish my vintage wristwatch collection,essential,50,low,low,medium,flexible
Bake mini scones with leftover blueberries,essential,25,low,low,medium,flexible
Meditate on that unresolved chess puzzle,mental_organization,15,low,low,medium,flexible
Catalog my stamp album's rare errors,essential,45,low,low,medium,flexible
Stretch routine targeting my runner's knee,physical,20,low,low,medium,recovery
Draft email to editor about my sci-fi manuscript,mental_organization,30,low,low,medium,flexible
Watercolor the view from my attic window,leisure,40,low,low,medium,recovery
Rehearse monologue from that forgotten play,mental_organization,25,low,low,medium,flexible
Sort spices by heat level in my curry kit,mental_organization,10,low,low,medium,flexible
Debug code snippet for my app side project,essential,35,low,low,medium,flexible
Prune bonsai tree shaped like a dragon,leisure,20,low,low,medium,recovery
Listen to vinyl of dad's favorite jazz album,leisure,50,low,low,medium,recovery
Assemble model kit of my dream spaceship,crafting,45,low,low,medium,flexible
Journal about hiking trail mishap last weekend,mental_organization,15,low,low,medium,post-reset
Sharpen knives for tomorrow's sushi prep,essential,10,low,low,medium,flexible
Study star chart for upcoming meteor shower,comprehension,30,low,low,medium,flexible
Fold origami cranes for friend's birthday,essential,25,low,low,medium,flexible
Tune bike gears after muddy ride,essential,20,low,low,medium,flexible
Review flashcards on ancient Greek myths,comprehension,40,medium,low,medium,flexible
Mix essential oils for my headache blend,essential,15,low,low,medium,flexible
Sketch tattoo ideas inspired by Celtic knots,skill_practice,35,low,low,medium,flexible
Practice bird calls from my ornithology guide,skill_practice,20,low,low,medium,flexible
Catch a butterfly outdoors,essential,45,low,low,,midday
